State,state,date,days from start,donor percent - Apr,Islander,Blue state,Registered voters,total donors,White,Latino,Black,Native,Asian,islander,Mixed Race,Black*Obama,2008 Obama %,allow indep.,caucus?,donor percent - Jan,actual delegates,predicted delegates,Early Voting,Exclusive breastfeeding at 3 months,538,Nader,FB_bernie,FB_clinton,clinton lead in polls,NewYork,Yankeedom,Appalacia,Slaves,Midlands,FarWest,LeftCoast,ElNorte,2008_turnout,same.day.regist
Alabama,AL,3/1/16,29,0.49,0.4,0,3035690,980,67,3.9,26.2,0.6,1.1,0.1,1.5,14.97,0.57,1,0,53,0.17,0.35,1,29,,1.1,9,4,38,0,0,0,1,0,0,0,0,61,0
Alaska,AK,3/26/16,54,0.81,0.1,0,499341,744,64.1,5.5,3.3,14.8,5.4,1,7.3,2.48,0.75,0,1,81,0.81,0.81,0,52,63,10.7,26,5,3,0,0,0,0,0,1,0,0,68.3,0
Arizona,AZ,3/22/16,50,0.67,0.1,0,3145973,3743,57.8,29.6,4.1,4.6,2.8,0.2,3.4,1.87,0.46,0,0,67,0.41,0.49,0,40,47,2.98,25,8,30,0,0,0,0,0,1,0,1,57.4,0
Arkansas,AR,3/1/16,29,0.33,0,0,1539619,1293,74.5,6.4,15.4,0.8,1.2,0.2,2,4.29,0.28,1,0,39,0.31,0.16,0,49,,1.46,13,7,28.5,0,0,0,1,0,0,0,0,52.9,0
California,CA,6/7/16,127,0.56,0,1,17259680,46656,40.1,37.6,6.2,1,13,0.4,4.9,2.84,0.46,1,0,66,,0.67,0,54,46,3.82,37,13,8.7,0,0,0,0,0,0,1,1,61.7,0
Colorado,CO,3/1/16,29,0.62,0.1,1,2504729,5661,70,20.7,4,1.1,2.8,0.1,3.4,2.71,0.68,0,1,69,0.58,0.61,1,36,,5.25,36,8,28,0,0,0,0,0,1,0,1,71.6,1
Connecticut,CT,4/26/16,85,0.53,0.3,1,1989462,3876,71.2,13.4,10.1,0.3,3.8,0,2.6,5.26,0.52,0,0,60,0.49,0.48,0,32,48,4.42,33,11,5.6,1,1,0,0,0,0,0,0,66.6,1
Delaware,DE,4/26/16,85,0.55,0.1,1,623297,483,65.3,8.2,21.4,0.5,3.2,0,2.7,11.94,0.56,0,0,56,0.43,0.44,0,37,48,2.54,23,9,7,0,0,0,1,0,0,0,0,65.8,0
District of Colombia,DC,6/14/16,134,0.18,0.1,1,465971,4998,34.8,9.1,50.7,0.3,3.5,0.1,2.9,0,,0,0,18.3473,,0.05,0,38,36,5.24,,,,0,0,0,1,0,0,0,0,61.7,0
Florida,FL,3/15/16,43,0.43,0,0,11446540,11765,57.9,22.5,16,0.4,2.4,0.1,2.5,6.36,0.4,0,0,51,0.34,0.28,1,39,32,1.63,25,9,28.9,0,0,0,1,0,0,0,0,66.6,0
Georgia,GA,3/1/16,29,0.51,0.1,0,5804812,3553,55.9,8.8,30.5,0.3,3.2,0.1,2.1,20.75,0.68,1,0,52,0.28,0.32,0,50,,0.52,14,7,37,0,0,0,1,0,0,0,0,62.7,0
Hawaii,HI,3/26/16,54,0.74,0,1,690748,1024,22.7,8.9,1.6,0.3,38.6,10,23.6,1.22,0.76,0,1,74,0.68,0.71,0,47,58,5.88,40,8,,0,0,0,0,0,0,1,0,49,0
Idaho,ID,3/22/16,50,0.75,0.1,0,753880,620,84,11.2,0.6,1.4,1.2,0.1,2.5,0.49,0.82,1,1,73,0.78,0.75,0,53,57,2.45,23,4,-2,0,0,0,0,0,1,0,1,64.8,1
Illinois,IL,3/15/16,43,0.55,0,1,7282639,9269,63.7,15.8,14.5,0.3,4.6,0,2.3,9.62,0.66,1,0,63,0.49,0.47,1,36,45,2.19,35,11,2.3,0,1,1,0,1,0,0,0,64.3,1
Indiana,IN,5/3/16,92,0.62,0.1,0,4409890,2101,81.5,6,9.1,0.3,1.6,0,2,4.46,0.49,1,0,61,0.53,0.54,1,36,47,0.84,22,6,6.8,0,0,1,0,1,0,0,0,60.3,0
Iowa,IA,2/1/16,0,0.64,0.1,1,2135939,1761,88.7,5,2.9,0.4,1.7,0.1,1.8,1.64,0.57,1,1,63,0.48,0.52,0,41,,2.23,24,10,4,0,0,0,0,1,0,0,0,69.7,1
Kansas,KS,3/5/16,33,0.65,0,0,1706798,1071,78.2,10.5,5.9,1,2.4,0.1,3,4.37,0.74,0,1,71,0.73,0.63,0,47,,3.36,24,6,10,0,0,0,0,1,1,0,0,63.5,0
Kentucky,KY,5/17/16,106,0.63,0.1,0,3012175,1279,86.3,3.1,7.8,0.2,1.1,0.1,1.7,2.46,0.32,0,0,63,0.5,0.54,0,52,55,1.5,17,6,5,0,0,1,0,0,0,0,0,59,0
Louisiana,LA,3/5/16,33,0.47,0.1,0,2914172,1159,60.3,4.2,32,0.7,1.5,0,1.6,19.61,0.61,0,0,52,0.27,0.27,1,25.3,,1.16,11,5,39,0,0,0,1,0,0,0,0,63.5,0
Maine,ME,3/5/16,33,0.75,0.1,1,964753,1635,94.4,1.3,1.2,0.6,1,0,1.6,0.72,0.6,0,1,77,0.64,0.71,0,49,,5.7,38,7,,0,1,0,0,0,0,0,0,71.8,1
Maryland,MD,4/26/16,85,0.43,0,1,3563971,6642,54.7,8.2,29.4,0.4,5.5,0.1,2.9,18.49,0.63,0,0,50,0.35,0.34,0,34,36,2.65,24,11,24,0,0,0,1,1,0,0,0,67.8,0
Massachusetts,MA,3/1/16,29,0.6,0.1,1,4220488,11434,76.1,9.6,6.6,0.3,5.3,0,2.6,2.79,0.42,1,0,67,0.49,0.5,1,61,,6.42,41,14,6.7,0,1,0,0,0,0,0,0,67.3,0
Michigan,MI,3/8/16,36,0.62,0.1,1,7334233,4801,76.6,4.4,14.2,0.6,2.4,0,2.3,0,0,1,0,66,0.52,0.51,0,41,,1.99,30,8,21.4,0,1,0,0,0,0,0,0,69.7,0
Minnesota,MN,3/1/16,29,0.6,0,1,3059234,3850,83.1,4.7,5.2,1.1,4,0,2.4,3.5,0.67,1,1,65,0.6,0.61,1,39,,5.2,34,10,34,0,1,0,0,0,0,0,0,78.1,1
Mississippi,MS,3/8/16,36,0.5,0,0,1873740,367,58,2.7,37,0.5,0.9,0,1.1,23.03,0.62,1,0,57,0.11,0.39,0,29,,0.82,7,4,44,0,0,0,1,0,0,0,0,61,0
Missouri,MO,3/15/16,43,0.53,0.1,0,4137545,2594,81,3.5,11.6,0.5,1.6,0.1,2.1,5.86,0.51,1,0,60,0.5,0.44,1,43,45,1.63,22,6,6,0,0,0,1,1,0,0,0,68.2,0
Montana,MT,6/7/16,127,0.72,0,0,662093,665,87.8,2.9,0.4,6.3,0.6,0.1,2.5,0.23,0.58,1,0,73,,0.76,1,42,60,5.94,26,5,,0,0,0,0,0,1,0,0,67.1,1
Nebraska,NE,3/5/16,33,0.54,0.1,0,1133456,770,82.1,9.2,4.5,1,1.8,0.1,2.2,3.06,0.68,0,1,59,0.6,0.49,0,37,,3.52,24,7,,0,0,0,0,1,1,0,0,63.7,0
Nevada,NV,2/20/16,19,0.54,0.2,1,1449377,1771,54.1,26.5,8.1,1.2,7.2,0.6,4.7,3.8,0.47,0,1,55,0.43,0.42,0,44,,2.46,25,10,2.4,0,0,0,0,0,1,0,1,57.2,0
New Hampshire,NH,2/9/16,8,0.76,1,1,767383,2258,92.3,2.8,1.1,0.2,2.2,0,1.6,0.53,0.48,1,0,76,0.63,0.61,0,52,,3.9,34,9,13.3,0,1,0,0,0,0,0,0,72.5,1
New Jersey,NJ,6/7/16,127,0.5,0.9,1,5271837,6147,59.3,17.7,13.7,0.3,8.3,0,2.7,6.15,0.45,0,0,53,,0.46,1,40,45,2.97,28,12,17,1,0,0,0,1,0,0,0,67.7,0
New Mexico,NM,6/7/16,127,0.69,0.6,1,1231847,2347,40.5,46.3,2.1,9.4,1.4,0.1,3.7,1.04,0.49,0,0,74,,0.74,1,56,47,3.55,31,8,14,0,0,0,0,0,1,0,1,61.2,0
New York,NY,4/19/16,78,0.41,0,1,11477613,26865,58.3,17.6,15.9,0.6,7.3,0,3,6.56,0.41,0,0,48,0.43,0.3,0,37,44,3.58,34,15,11.7,1,0,0,0,0,0,0,0,59.6,0
North Carolina,NC,3/15/16,43,0.6,0,0,6206544,4389,65.3,8.4,21.5,1.3,2.2,0.1,2.2,12.29,0.57,1,0,64,0.43,0.49,0,33,31,,19,7,24,0,0,1,1,0,0,0,0,66.1,0
North Dakota,ND,6/7/16,127,0.72,0.1,0,496906,211,88.9,2,1.2,5.4,1,0,1.8,0.75,0.62,0,0,73,,0.71,1,53,63,3.29,20,6,,0,0,0,0,0,1,0,0,63.6,0
Ohio,OH,3/15/16,43,0.55,0,1,7809390,4056,81.1,3.1,12.2,0.2,1.7,0,2.1,5.48,0.45,1,0,58,0.43,0.42,1,38,48,2.5,19,7,8,0,0,1,0,1,0,0,0,67.8,0
Oklahoma,OK,3/1/16,29,0.51,10,0,2000610,1351,68.7,8.9,7.4,8.6,1.7,0.1,5.9,2.67,0.36,1,0,59,0.55,0.56,0,27,,0,16,5,2,0,0,1,0,1,0,0,0,56.3,0
Oregon,OR,5/17/16,106,0.78,0.1,1,2056917,5554,78.5,11.7,1.8,1.4,3.7,0.3,3.8,1.06,0.59,0,0,81,0.56,0.77,1,29,45,5.04,43,8,15,0,0,0,0,0,0,1,0,68.3,0
Pennsylvania,PA,4/26/16,85,0.54,0,1,8243754,7003,79.5,5.7,10.8,0.2,2.7,0,1.9,4.86,0.45,0,0,60,0.44,0.47,0,43,47,2.1,24,8,16,0,1,1,0,1,0,0,0,64.2,0
Rhode Island,RI,4/26/16,85,0.52,0.1,1,838066,1132,76.4,12.4,5.7,0.6,2.9,0.1,3.3,2.33,0.41,1,0,60,0.54,0.53,1,44,50,6.12,36,11,2.5,0,1,0,0,0,0,0,0,62.3,0
South Carolina,SC,2/27/16,26,0.46,0.2,0,2722280,1655,64.1,5.1,27.9,0.4,1.3,0.1,1.7,18.71,0.67,1,0,51,0.26,0.3,0,32,,1.46,11,5,27.5,0,0,0,1,0,0,0,0,58.2,0
South Dakota,SD,6/7/16,127,0.63,0,0,519194,259,84.7,2.7,1.3,8.8,0.9,0,2.1,0.59,0.45,1,0,74,,0.77,1,43,45,,22,6,,0,0,0,0,0,1,0,0,65.6,0
Tennessee,TN,3/1/16,29,0.55,0.1,0,3447163,2273,75.6,4.6,16.7,0.3,1.4,0.1,1.7,7.11,0.43,1,0,56,0.34,0.37,1,27,,0.95,14,5,26,0,0,1,0,0,0,0,0,57.4,0
Texas,TX,3/1/16,29,0.46,0,0,13065425,11446,45.3,37.6,11.8,0.7,3.8,0.1,2.7,5.66,0.48,1,0,51,0.34,0.31,0,37,,2.15,15,7,6.7,0,0,1,1,0,0,0,1,54,0
Utah,UT,3/22/16,50,0.64,0.6,0,1267872,1110,80.4,13,1.1,1.2,2,0.9,2.7,0.65,0.59,1,1,68,0.82,0.7,1,38,59,4.65,27,6,-8,0,0,0,0,0,1,0,0,57.1,0
Vermont,VT,3/1/16,29,0.96,0,1,342221,4204,94.3,1.5,1,0.4,1.3,0,1.7,0.6,0.6,1,0,96,1,0.86,0,38,,6.92,76,4,-75,0,1,0,0,0,0,0,0,67.7,0
Virginia,VA,3/1/16,29,0.44,0.1,0,5216252,6560,64.8,7.9,19.4,0.4,5.5,0.1,2.9,12.54,0.65,1,0,49,0.35,0.28,1,39,,4.14,20,9,21.5,0,0,1,1,0,0,0,0,67.6,0
Washington,WA,3/26/16,54,0.75,0,1,3035690,10615,72.5,11.2,3.6,1.5,7.2,0.6,4.7,2.47,0.69,1,0,75,0.74,0.65,0,49,60,4.14,41,9,,0,0,0,0,0,0,1,1,67.3,0
West Virginia,WV,5/10/16,99,0.64,0,0,1026221,566,93.2,1.2,3.4,0.2,0.7,0,1.5,0.95,0.28,1,0,64,0.62,0.6,1,28,54,1.65,15,5,-6,0,0,1,0,0,0,0,0,51.2,0
Wisconsin,WI,4/5/16,64,0.7,0,1,3453794,3102,83.3,5.9,6.3,1,2.3,0,1.8,3.69,0.59,1,0,73,0.56,0.65,1,48,52,3.62,36,8,-2.6,0,0,0,0,1,0,0,0,72.7,1
Wyoming,WY,4/9/16,68,0.63,0.1,0,228401,249,85.9,8.9,0.8,2.4,0.8,0.1,2.2,0.49,0.62,0,1,68,0.5,0.67,0,44,58,2.12,17,4,,0,0,0,0,0,1,0,0,63.1,1
